original_code,code,code_level,sector,borderline
30.1,301,3,Shipping,1
30.11,3011,4,Shipping,1
30.12,3012,4,Shipping,1
33.15,3315,4,Shipping,1
50,50,2,Shipping,1
50.1,501,4,Shipping,
,5010,,Shipping,
50.2,502,4,Shipping,
,5020,,Shipping,1
52.22,5222,4,Shipping,1
52.24,5224,4,Shipping,1
52.29,5229,4,Shipping,1
27,27,2,Power,
27.12,2712,4,Power,1
33.14,3314,4,Power,1
35,35,2,Power,1
35.1,351,3,Power,
35.11,3511,4,Power,
35.12,3512,4,Power,1
35.13,3513,4,Power,1
35.14,3514,4,Power,1
43.21,4321,4,Power,1
9.1,91,4,Oil&Gas,
,910,,Oil&Gas,1
,192,,Oil&Gas,
,1920,,Oil&Gas,
20.14,2014,4,Oil&Gas,
35.2,352,3,Oil&Gas,
35.21,3521,4,Oil&Gas,
35.22,3522,4,Oil&Gas,1
35.23,3523,4,Oil&Gas,1
46.12,4612,4,Oil&Gas,1
46.71,4671,4,Oil&Gas,1
6,6,2,Oil&Gas,
6.1,61,4,Oil&Gas,
,610,,Oil&Gas,
6.2,62,4,Oil&Gas,
,620,,Oil&Gas,
2.4,24,4,Steel,
24.1,241,4,Steel,
,2410,,Steel,
24.2,242,3,Steel,1
,2420,,Steel,1
24.34,2434,4,Steel,1
24.4,244,3,Steel,1
24.42,2442,4,Steel,1
24.44,2444,4,Steel,1
24.45,2445,4,Steel,1
24.5,245,3,Steel,
24.51,2451,4,Steel,1
24.52,2452,4,Steel,
25,25,2,Steel,1
25.1,251,3,Steel,1
25.11,2511,4,Steel,1
46.72,4672,4,Steel,1
5,5,2,Coal,
5.1,51,4,Coal,
,510,,Coal,
5.2,52,4,Coal,
,520,,Coal,
7,7,2,Steel,
7.2,72,3,Steel,1
7.29,729,4,Steel,1
8,8,2,Coal,1
9,9,2,Coal,1
9.9,99,4,,
,990,,,
23.5,235,3,Cement,
23.51,2351,4,Cement,
23.52,2352,4,Cement,1
23.6,236,3,Cement,
23.61,2361,4,Cement,1
23.63,2363,4,Cement,1
23.64,2364,4,Cement,1
,811,,Cement,1
8.9,89,3,Cement,1
,3030,,Aviation,1
33.16,3316,4,Aviation,1
51.1,511,4,Aviation,
,5110,,Aviation,
51.2,512,3,Aviation,
51.21,5121,4,Aviation,1
52.23,5223,4,Aviation,1
28.15,2815,4,Automotive,1
